Title,Author,Description,Publishment_year,Num_of_pages,Bio-description
"
Gerard Wilk. Tancerz
",['Zofia Rudnicka'],"Był gwiazdą Teatru Wielkiego w Warszawie, ale tańczył też w rozrywkowych programach telewizyjnych. Pojawił się w filmach Andrzeja Wajdy i Stanisława Barei, bywał fotomodelem Barbary Hoff. Uwielbiany przez kobiety i mężczyzn. U szczytu kariery wyemigrował z Polski, by wejść na taneczny Olimp i znaleźć się w zespole Maurice'a Béjarta. Z „Baletem XX wieku” zwiedził cały świat. Gerard Wilk, jeden z najwybitniejszych polskich tancerzy, miał wszystko: urodę, talent, uznanie i popularność. Przyjaciółka i partnerka sceniczna Wilka, Zofia Rudnicka, przypomina tancerza i otaczający go świat. Odwiedzamy modne miejsca Warszawy lat 60. XX wieku, poznajemy ważne osoby, a potem wyruszamy w podróż po Europie. Odwiedzamy gejowskie kluby w Brukseli i zwiedzamy Paryż. Autorka do wspomnień zaprasza rodzinę, znajomych, współpracowników. Rozmawia z miłościami Wilka, odwiedza jego ostatniego partnera, wyszukuje unikatowe zdjęcia.",2019,336,"[['Tancerka, choreografka, doktor habilitowany, wykładowczyni kompozycji tańca. Całą karierę baletową związana z Teatrem Wielkim w Warszawie. Współpracowała z telewizją i teatrem, stworzyła choreografię do kilkudziesięciu oper, operetek, musicali, sztuk teatralnych i filmów, w tym kultowej Akademii Pana Kleksa i Teatru Telewizji Pamiętnik pani Hanki (reż. Borys Lankosz). Bywała aktorką (w słynnym Kabarecie Olgi Lipińskiej) i prezentowała modę (u Barbary Hoff). Laureatka „Złotej Maski” za balet Rudolf Valentino z muzyką Krzesimira Dębskiego, Nagrody Choreograficznej im. Jana Kiepury 2010 za Taniec godzin w operze Gioconda Amilcare Ponchiellego, a także dorocznej nagrody Stowarzyszenia Autorów ZAiKS (2013).']]"
"
Żuławski. Wywiad rzeka
","['Piotr Marecki', 'Piotr Kletowski', 'Andrzej Żuławski']","Wywiad-rzeka o „kosmosie Żuławskiego” – rozmowa o uniwersum sztuki utkanym z setek przeczytanych książek, obejrzanych filmów i wysłuchanych oper, a takż̇e o traumatycznych doświadczeniach życiowych, które ukształtowały filmowy i pisarski warsztat artysty. Sam Peckinpah obok Fiodora Dostojewskiego, Sergiej Eisenstein obok Kena Russella, XIX-wieczna proza obok sztuki komiksu – to wszystko staje się inspiracją do stworzenia dzieła poruszającego najbardziej dotkliwe problemy – w sferze indywidualnej i społecznej. Dramatyczne opowieści o filmie w czasach PRL-u. O dwukrotnym przymusie opuszczenia Polski i o cenzurze. O kobietach... Małgorzacie Braunek, Romy Schneider, Isabelle Adjani, Valérie Kaprisky, Iwonie Petry, Sophie Marceau. O robienieu języka lewicowego w telewizji “pampersów”. O pracy z filmowcami z Polski, Francji i Ameryki – przewodnik po praktycznej stronie sztuki filmowej. Nowe wydanie wzbogacone zdjęciami i nowym wstępem Piotra Kletowskiego.",2019,448,"[['Piotr Marecki (1976)', 'redaktor, wydawca, kulturoznawca. Redaktor naczelny magazynu „Ha!art”. Absolwent polonistyki UJ, doktor kulturoznawstwa UJ, adiunkt w katedrze Kultury Współczesnej Instytutu Kultury UJ, dyrektor Krakowskiej Szkoły Scenariuszowej. Opublikował historię mówioną kina niezależnego w Polsce (2009) oraz wywiady-rzeki z Andrzejem Żuławskim (2008, wspólnie z Piotrem Kletowskim) i Andrzejem Barańskim (2009), redaktor Tekstyliów (2002) i Tekstyliów bis (2006).'], ['Piotr Kletowski (1975)', 'filmoznawca, specjalista od kina azjatyckiego. Autor monografii Śmierć jest moim zwycięstwem – kino Takeshi Kitano (2001) oraz Filmowa odyseja Stanleya Kubricka (2006). Współautor, razem z Piotrem Mareckim, głośnego wywiadu-rzeki z Andrzejem Żuławskim (Żuławski. Przewodnik Krytyki Politycznej, 2008). Redaktor Nowych nawigacji (1999) i Nowych nawigacji II (2003). Adiunkt w Instytucie Studiów Międzynarodowych i Politycznych UJ. Współtwórca Krakowskiej Szkoły Scenariuszowej.'], ['Andrzej Żuławski (1940-2016)', 'reżyser filmowy, scenarzysta, pisarz. Studiował na wydziale reżyserii IDHEC-u w Paryżu, filozofię na Sorbonie i nauki polityczne na UW. Był asystentem Andrzeja Wajdy (m.in. II reżyser przy Popiołach, 1965). Autor filmów: Trzecia część nocy (1971), Diabeł (1972), Najważniejsze to kochać (1975), Na srebrnym globie (1976-87), Opętanie (1981), Kobieta publiczna (1984), Narwana miłość (1985), Borys Godunow (1989), Moje noce są piękniejsze niż twoje dni (1989), Błękitna nuta (1989), Szamanka (1996), Wierność (2000). Autor ponad 20 książek m.in. Lity bór (1991), W oczach tygrysa (1992), Był sad (1992), Moliwda (1994), Niewierność (2001), O niej (2004), Bóg (2006), Nocnik (2010). O swoim życiu i twórczości opowiedział w wywiadzie-rzece Żuławski. Przewodnik Krytyka Politycznej (2008)']]"
"
Król, który uciekł
",['Jędrzej Napiecek'],"Opowieść o najbardziej popapranym kryzysie władzy w historii Polski. Prawie prawdziwa. Karzeł, który nie uważa się za karła i król, który nie chce być królem. Erotyczne rozpasanie Luwru i bogobojność Wawelu. Zniewieściali francuscy arystokraci i ceniący twardą siłę sarmaci. Krwawa Noc Św. Bartłomieja, groteskowe kulisy pierwszej wolnej elekcji i dziwaczna obyczajowość renesansu. W jaki sposób francuski lekkoduch z fetyszem damskich strojów Henryk Walezy trafił na tron Rzeczypospolitej, a całe życie wyszydzany karzeł polskiego pochodzenia Jan Krasowski stał się szarą eminencją? Polska korona jest ostatnim, czego pragnie wydelikacony książę andegaweński Henri de Valois, jednak zachodzi on za skórę niewłaściwej osobie. Jan Krasowski, zresztą postać historyczna, kilka miesięcy wcześniej był erotyczną zabawką na dworze Katarzyny Medycejskiej. Korzystając ze swej bystrości i dawnych koneksji uknuje on intrygę, dzięki której jednocześnie zemści się na znienawidzonym Henryku oraz na ojczyźnie, która sprzedała go w niewolę. Wystarczy, że doprowadzi do największego politycznego przekrętu XVI wieku.  Król, który uciekł to napisana współczesnym językiem komedia historyczna. Jędrzej Napiecek odczarowuje i wyśmiewa narodowe mity – polskie, francuskie. Bez wyjątku i taryfy ulgowej. ",0,384,"[['Scenarzysta filmowy, teatralny i gier komputerowych. Opublikował kilkadziesiąt artykułów i esejów w prasie ogólnopolskiej, pisał scenariusze telewizyjne, m.in. do komediowej serii ""Drunk History"". Finalista kilkunastu konkursów literackich i scenariuszowych. Autor dwóch dramatów wystawianych w teatrze: „Onanizm” oraz „Another day in the west”. Założyciel niezależnego studia ACT ZERO, które realizuje gry z nurtu indie oraz „serious games”.']]"
"
1966. Rok, w którym eksplodowała dekada
",['Jon Savage'],"W latach 60. XX wieku muzyka pop gwałtownie przyspieszyła i wkrótce przekroczyła barierę dźwięku. Stało się to w roku 1966. Mieszanina popu, pop artu, odważnej mody i radykalnych idei politycznych, podlana przełomową literaturą i LSD, doprowadziła wtedy do uwolnienia twórczych sił, które na zawsze zmieniły kulturowe oblicze Europy i Ameryki. A pop trwale zagościł na ulicy i na salonach.  Fascynująca opowieść Jona Savage'a przypomina nam najważniejsze dokonania The Beatles, The Byrds, Velvet Underground, The Who i The Kinks. A przede wszystkim pokazuje społeczne i kulturalne wrzenie, które doprowadziło do eksplozji 1966 roku. ",0,608,"[['Angielski dziennikarz muzyczny, pisarz, prezenter radiowy i telewizyjny. Pisał o punku, new wave i muzyce elektronicznej dla „Sounds”, „Melody Maker”, „The Face”, „Mojo”, „The Observer”, „New Statesman”. Autor m.in. książek England’s Dreaming (1991), poświęconej brytyjskiemu punkowi, oraz Teenage: The Prehistory of Youth Culture (2007), o powojennej kulturze młodzieżowej. Zaprojektował okładkę do jednego z pierwszych singli Manic Street Preachers.']]"
"
Kiedy wybuchnie wojna? 1938. Studium kryzysu
",['Piotr M. Majewski'],"Brudne intrygi polityczne, wielkie spektakle propagandowe, zawiła walka wywiadów i perfidne kampanie prowadzone na łamach prasy. To książka o kulisach uprawiania polityki. Autor przedstawia w niej modelowy przypadek sytuacji, gdy w imię ratowania pokoju Europa uczyniła milowy krok w kierunku katastrofalnej wojny.     ",2019,458,"[['Historyk dziejów najnowszych, pracuje w Instytucie Historycznym Uniwersytetu Warszawskiego. W latach 2009-2017 był zastępcą dyrektora Muzeum II Wojny Światowej w Gdańsku, gdzie odpowiadał za przygotowanie wystawy głównej. Specjalizuje się w historii Czechosłowacji i stosunkach czesko-niemieckich w XX w.']]"
"
Pancerna brzoza
",['Galopujący Major'],"Czym jest risercz ziemkiewiczowski, bruzda dotykowa, ciamajdan i syndrom ocaleńca? Gdzie możemy spotkać KODomitę, paski grozy, kuca Korwina, czy szechterowców? O co chodzi z biegactwem, kredkami na asfalcie, puczem kanapkowym, maskirowką i przekładaniem wajchy? Dlaczego Bartoszewski ponoć wyszedł na L4, a krul zawsze odpala protokół 1%? I co to w ogóle jest ta słynna prawicowa interpunkcja?  W swoim przystępnym i odrobinę złośliwym słowniku Galopujący Major wyjaśnia podstawowe terminy i zwroty pozwalające zrozumieć meandry prawicowej logiki i sedno polskiego, reakcyjnego myślenia.",0,256,"[['Bloger, komentator życia politycznego, współpracownik Krytyki Politycznej. Publikował na gazeta.pl, polityka.pl, a nawet, o dziwo, w Gazecie Polskiej. Jego felietony znajdziecie tutaj.']]"
"
Jak stworzyć wegański świat
",['Tobias Leenaert'],"W tej prowokującej do myślenia książce Tobias Leenaert wskazuje, że dotychczasowe strategie działania na rzecz praw zwierząt się nie sprawdziły. Pomimo działalności tysięcy zaangażowanych aktywistów i coraz bardziej błyskotliwych, a nie rzadko szokujących kampanii, spożycie mięsa i produktów odzwierzęcych wciąż rośnie. Leenaert prezentuje nową wizję tego, jak możemy stworzyć wegański świat. Biorąc pod uwagę naszą obecną sytuację, gdy niemal całe społeczeństwo zależy od wykorzystywania zwierząt, potrzebujemy innego, bardziej pragmatycznego podejścia.",0,320,"[['prowadzi wykłady i szkolenia dla aktywistów, m.in. w ramach Center for Effective Vegan Advocacy (CEVA). Jest współzałożycielem ProVeg International, organizacji, która stawia sobie za cel zredukowanie spożycia mięsa i produktów odzwierzęcych o 50% do 2040 oraz autorem popularnego bloga The Vegan Strategist.']]"
"
Ostre cięcie. Jak niszczono polską kolej
",['Karol Trammer'],"Wielkie reformy, miliardy z Unii na zrównoważony rozwój, rekordy prędkości pociągów i liczby pasażerów, a tymczasem polskimi kolejami w III RP wciąż jeździ mniej ludzi niż w PRL-u, a najnowszy tabor ma problem z osiągnięciem czasu przejazdów sprzed wojny. Co się stało, że jest tak dobrze, skoro jest tak źle?  To nie tylko efekt propagandy kolejnych ministrów, dyrektorów i prezesów spółek kolejowych, ale również skutek celowej polityki polskich rządów, niezależnie od opcji politycznej. Polscy decydenci - wbrew światowym trendom i eksperckiej wiedzy - przyjęli sobie za cel likwidację „nierentownej” infrastruktury, odbierając całym miastom i miasteczkom ich „okno na świat”.  Czy zapaść polskiej kolei była niemożliwa do uniknięcia? Karol Trammer nie tylko opisuje kto i jak likwidował polską kolej, ale również wskazuje na polityczne mechanizmy, które sprawiły, że stała się możliwa ta piękna katastrofa polskiego kolejnictwa, a także całkiem naoczne katastrofy jak w Szczekocinach, na stacji Baby, czy w Korzybiu. ",2019,288,"[['Twórca i redaktor naczelny pisma „Z biegiem szyn”. Absolwent Wydziału Geografii i Studiów Regionalnych Uniwersytetu Warszawskiego. Jego teksty i komentarze na temat transportu publicznego ukazywały się na łamach m.in. „Techniki Transportu Szynowego”, „Świata Kolei”, „Nowego Obywatela”, „Gazety Wyborczej”, „Dziennika Gazety Prawnej”, „Tygodnika Powszechnego”, „Tygodnika Przegląd”, „Wspólnoty” oraz biuletynu Biura Analiz Sejmowych „Infos”.']]"
"
Nieboskie stworzenia. Jak kościół wyklucza
","['Dorota Sumińska', 'Tomasz Jaeschke', 'Irena A. Stanisławska']","Dlaczego Kościół nie kocha wszystkich boskich stworzeń, choć chrześcijaństwo jest ponoć religią miłości? Dlaczego wyklucza zwierzęta? Dlaczego godzi się na rzeźnie, polowania i sprowadza czujące istoty do roli pożywnego posiłku? Czemu nie ma poszanowania dla ekologii planety w jej stworzonej przez Boga nieskalanej doskonałości? Skąd się bierze lęk kleru przed traktowaniem kobiet jako pełnoprawnych osób? Skąd taki problem z ludzkim podejściem do uchodźców, osób niepełnosprawnych, czy homoseksualnych? Czy Kościół może się jeszcze zmienić?  Z Dorotą Sumińską, najsłynniejszą polską doktor weterynarii i Animalpastorem Tomaszem Jaeschke, duszpasterzem ludzi i zwierząt, rozmawia Irena A. Stanisławska.  Nieboskie stworzenia. Jak Kościół wyklucza to inspirująca rozmowa o Kościele, zwierzętach, ekologii, kobietach i braku wspólnego języka, ale też zaproszenie do dyskusji. Czy Kościół będzie gotowy ją podjąć?",2019,288,"[['Zwykształcenia lekarka weterynarii, z zamiłowania pilna obserwatorka Matki Natury. Publicystka, autorka wielu książek dla dorosłych i dla dzieci, programów radiowych i telewizyjnych. Pisze też do prasy. Profesjonalna i karna służąca dwudziestu schorowanych i starych zwierząt (dziesięciu psów i dziesięciu kotów). Mama, babcia, podróżniczka, wegetarianka dążąca do weganizmu. Przez kilka lat uczestniczyła w programie resocjalizacji więźniów, odznaczona złotą odznaką polskiego systemu penitencjarnego. Jej motto: „Żyj i daj żyć innym”.Fot. Angelika Stasiak'], ['Ksiądz rzymskokatolicki, były duchowny i jedyny duszpasterz zwierząt w Europie - animalpastor. Ukończył studia teologii katolickiej i filozofii chrześcijańskiej na Papieskim Wydziale Teologicznym w Krakowie, studia pedagogiki religijnej na Uniwersytecie Wiedeńskim, coachingu i mediacji w Wyższej Szkole Pedagogicznej w Wiedniu. Autor książek: La lacrima di Dio, czyli 77 pytań do Animalpastora oraz Nierządnice. O moim kapłaństwie i moim Kościele.Fot. Marcin Mucha'], ['Dziennikarka i współautorka książek, między innymi z Dorotą Zawadzką, Wojciechem Eichelbergerem, Aleksandrą Piotrowską, Robertem Rutkowskim. Pasjonatka psychologii, nie boi się żadnych tematów.Fot. Piotr Grabowski']]"
"
Pokolenie '89. Młodzi o polskiej transformacji
",['Jakub Sawulski'],"Między rokiem 1986 a 1995, w czasie, gdy w Polsce dokonywała się transformacja ustrojowa, rodzili się ludzie. To my – pierwsze pokolenie, które nie zna czasów PRL-u. Słabo pamiętamy też przemiany gospodarcze z lat 90. A członkostwo Polski w Unii Europejskiej, otwarte granice i dostęp do Internetu to dla nas coś oczywistego. Mamy kilka lat doświadczeń na rynku pracy, próbę wynajęcia lub kupna mieszkania i pierwsze zapłacone składki na emeryturę. Niektórzy z nas właśnie zakładają rodziny. I wiemy już, jakie są owoce polskiej transformacji, choć ani nie przeżyliśmy świadomie jej przebiegu, ani nie za bardzo interesuje nas to, co było wcześniej. Ale to, co zastaliśmy, wchodząc w dorosłe życie, odbiega często od tego, czego oczekiwaliśmy. Ta książka oddaje głos naszemu pokoleniu. Pokoleniu ‘89, które do tej pory było anonimowe, ale teraz zaczyna coraz głośniej mówić o tym, co trzeba w Polsce zmienić. ",2019,256,"[['Jakub Sawulski (rocznik ’89)', 'doktor nauk ekonomicznych. Wykładowca w Szkole Głównej Handlowej w Warszawie oraz ekspert w Biurze Analiz Sejmowych. Wcześniej związany m.in. z Uniwersytetem Ekonomiczny w Poznaniu, Instytutem Badań Strukturalnych oraz Deloitte Polska. W pracy naukowej zajmuje się finansami publicznymi oraz polityką energetyczną i innowacyjną państwa. Za cel działalności publicznej stawia sobie upowszechnianie wiedzy o ekonomii. Kierował dwoma ogólnopolskimi projektami naukowo-edukacyjnymi: „Jak są wydawane moje podatki” oraz „Młodzi o systemie emerytalnym”. Prowadzi bloga edukacyjnego o ekonomii na Facebooku.Prywatnie mąż Sabiny i tato Julki. Hobby: po pierwsze spacery z żoną, córką i psem Bąblem. Po drugie sport – latem gra w piłkę nożną, zimą próbuje ewolucji na snowboardzie.Facebook:fb.com/JakubSawulskiBlogTwitter:@jakubsawulski']]"
